nome,url,preco_texto,categoria,loja
"Notebook Asus Vivobook Go 15, AMD Ryzen 5, 8GB de Memória, Armazenamento 512GB SSD, Windows 11 Home, Preto, Tela de 15,6, E1504FA-NJ836W CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-go-15-amd-ryzen-5-8gb-de-memoria-armazenamento-512gb-ssd-windows-11-home-preto-tela-de-15-6-e1504fa-nj836w-cx-1-un/222726," R$ 4.599,91 à vista",notebook,kalunga
"Notebook ASUS Vivobook Go 15, Intel Celeron N4500 Dual Core, 4GB de Memória, Armazenamento 128GB eMMC, Windows 11 Home, Tela de 15,6, Rose Pink, com Microsoft 365 Personal 12 Meses*, ASUS – E510KA-BR833WS CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-go-15-intel-celeron-n4500-dual-core-4gb-de-memoria-armazenamento-128gb-emmc-windows-11-home-tela-de-15-6-rose-pink-com-microsoft-365-personal-12-meses-asus-e510ka-br833ws-cx-1-un/220088," R$ 2.667,08 à vista",notebook,kalunga
"Notebook ASUS Vivobook Go 15, AMD Athlon Silver 10, 8GB de Memória, Armazenamento 128GB SSD, Windows 11 Home, Tela de 15,6, Preto, E1504FA-BQ5315W, ASUS – CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-go-15-amd-athlon-silver-10-8gb-de-memoria-armazenamento-128gb-ssd-windows-11-home-tela-de-15-6-preto-e1504fa-bq5315w-asus-cx-1-un/220040," R$ 3.311,08 à vista",notebook,kalunga
"Notebook Asus Vivobook Go 15, AMD Athlon Silver 10, 4GB de Memória, Armazenamento 128GB SSD, Windows 11 Home, Rose, Tela de 15,6, E1504FA-BQ5313WS CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-go-15-amd-athlon-silver-10-4gb-de-memoria-armazenamento-128gb-ssd-windows-11-home-rose-tela-de-15-6-e1504fa-bq5313ws-cx-1-un/220038," R$ 3.035,08 à vista",notebook,kalunga
"Notebook ASUS Vivobook 16 X1605VA, Processador Intel Core i7, 16GB de Memória, Armazenamento 512GB SSD, Windows 11 Home, Tela de 16, Prata, ASUS - CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-16-x1605va-processador-intel-core-i7-16gb-de-memoria-armazenamento-512gb-ssd-windows-11-home-tela-de-16-prata-asus-cx-1-un/222725," R$ 6.706,80 à vista",notebook,kalunga
"Notebook Asus Vivobook Go 15, AMD Athlon Silver 10, 4GB de Memória, Armazenamento 128GB SSD, Windows 11 Home, Tela de 15,6, Preto, E1504FA-BQ5312WS, ASUS - CX 1 UN",https://www.kalunga.com.br/prod/notebook-asus-vivobook-go-15-amd-athlon-silver-10-4gb-de-memoria-armazenamento-128gb-ssd-windows-11-home-tela-de-15-6-preto-e1504fa-bq5312ws-asus-cx-1-un/220037," R$ 3.035,08 à vista",notebook,kalunga
"Monitor 19, LED, HD, HDMI / VGA , Tela IPS, 60Hz, 5ms, Preto, MR-19, C3Tech - CX 1 UN",https://www.kalunga.com.br/prod/monitor-19-led-hd-hdmi-vga-tela-ips-60hz-5ms-preto-mr-19-c3tech-cx-1-un/218576," R$ 290,90 à vista",notebook,kalunga
"Monitor Gamer 23,8, Tela LED Full HD, Taxa de Atualização de 100Hz, Tempo de Resposta 1ms, Conexões HDMI e VGA, 24B35HM2, AOC - CX 1 UN",https://www.kalunga.com.br/prod/monitor-gamer-23-8-tela-led-full-hd-taxa-de-atualizacao-de-100hz-tempo-de-resposta-1ms-conexoes-hdmi-e-vga-24b35hm2-aoc-cx-1-un/476876," R$ 599,00 à vista",notebook,kalunga
"Monitor LED tela de 24, Full HD, HDMI / VGA , 100Hz, 5ms, Preto, MR-240BK, C3Tech - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-tela-de-24-full-hd-hdmi-vga-100hz-5ms-preto-mr-240bk-c3tech-cx-1-un/476895," R$ 533,40 à vista",notebook,kalunga
Fonte alimentação universal p/ notebook bivolt 65w UN1265 BestBattery CX 1 UN,https://www.kalunga.com.br/prod/fonte-alimentacao-universal-para-notebook-bivolt-65w-un1265-bestbattery-cx-1-un/281501,"R$ 139,90",notebook,kalunga
"Monitor Gamer Tela LED de 21,5,  Full HD, Taxa de Atualização de 120Hz, Tempo de Resposta 1ms, Conexões HDMI e VGA, 22B35HM23, AOC - CX 1 UN",https://www.kalunga.com.br/prod/monitor-gamer-tela-led-de-21-5-full-hd-taxa-de-atualizacao-de-120hz-tempo-de-resposta-1ms-conexoes-hdmi-e-vga-22b35hm23-aoc-cx-1-un/476885," R$ 499,00 à vista",notebook,kalunga
"Monitor LED Portátil, Tela de 15,6, FHD, 6ms, 60hz, PM161Q, Acer - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-portatil-tela-de-15-6-fhd-6ms-60hz-pm161q-acer-cx-1-un/476865," R$ 688,60 à vista",notebook,kalunga
"Monitor Gamer LED Agon G50, Full HD, Tela de 24, 144Hz, 0,5ms, HDMI, Displayport, 24G50F, AOC - CX 1 UN",https://www.kalunga.com.br/prod/monitor-gamer-led-agon-g50-full-hd-tela-de-24-144hz-0-5ms-hdmi-displayport-24g50f-aoc-cx-1-un/476893," R$ 726,53 à vista",notebook,kalunga
"Suporte para notebook, Preto, LSAP2, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-preto-lsap2-ergo-cx-1-un/666090,"R$ 31,90",notebook,kalunga
"Monitor LED Tela IPS de 21,5, LED, Full HD, Widescreen, HDMI / VGA, 75Hz, 5ms, Preto, MR-215, C3Tech - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-tela-ips-de-21-5-led-full-hd-widescreen-hdmi-vga-75hz-5ms-preto-mr-215-c3tech-cx-1-un/218578," R$ 400,51 à vista",notebook,kalunga
"Monitor LED tela de 24, Full HD, HDMI / VGA , 100Hz, 5ms, Branco, MR-240WH, C3Tech - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-tela-de-24-full-hd-hdmi-vga-100hz-5ms-branco-mr-240wh-c3tech-cx-1-un/476896," R$ 543,10 à vista",notebook,kalunga
